Internal drug ID,Drug type,Phase,Gene,DOE,Mechanism,Supporting sources
17,Small molecule,4.0,CHRM3,Negative modulator,Antagonist,['CHEMBL']
18,Small molecule,4.0,CHRM2,Negative modulator,Antagonist,['CHEMBL']
18,Small molecule,4.0,CHRM3,Negative modulator,Antagonist,['CHEMBL']
19,Small molecule,4.0,CHRM3,Negative modulator,Antagonist,['CHEMBL']
20,Small molecule,4.0,CHRM3,Positive modulator,Agonist,['CHEMBL']
21,Small molecule,4.0,CHRM3,Negative modulator,Antagonist,['CHEMBL']
22,Small molecule,4.0,CHRM2,Negative modulator,Antagonist,['CHEMBL']
22,Small molecule,4.0,CHRM3,Negative modulator,Antagonist,['CHEMBL']
23,Small molecule,4.0,CHRM3,Negative modulator,Antagonist,['CHEMBL']
24,Small molecule,4.0,CHRM3,Positive modulator,Agonist,['CHEMBL']
25,Small molecule,4.0,CHRM3,Positive modulator,Agonist,['CHEMBL' 'DrugBank' 'GTP']
26,Small molecule,4.0,CHRM1,Positive modulator,Agonist,['CHEMBL' 'DrugBank']
26,Small molecule,4.0,CHRM3,Positive modulator,Agonist,['CHEMBL' 'DrugBank' 'GTP']
27,Small molecule,4.0,CHRM1,Positive modulator,Agonist,['CHEMBL']
27,Small molecule,4.0,CHRM3,Positive modulator,Agonist,['CHEMBL']
28,Small molecule,4.0,CHRM1,Positive modulator,Agonist,['CHEMBL' 'DrugBank']
28,Small molecule,4.0,CHRM3,Positive modulator,Agonist,['CHEMBL' 'DrugBank']
29,Small molecule,4.0,CHRM1,Negative modulator,Antagonist,['CHEMBL']
29,Small molecule,4.0,CHRM3,Negative modulator,Antagonist,['CHEMBL']
30,Small molecule,4.0,CHRM3,Negative modulator,Antagonist,['CHEMBL' 'DrugBank' 'GTP']
31,Small molecule,4.0,CHRM1,Negative modulator,Antagonist,['CHEMBL' 'DrugBank' 'GTP']
31,Small molecule,4.0,CHRM3,Negative modulator,Antagonist,['CHEMBL' 'DrugBank' 'GTP']
32,Small molecule,4.0,CHRM2,Negative modulator,Antagonist,['CHEMBL' 'DrugBank']
32,Small molecule,4.0,CHRM3,Negative modulator,Antagonist,['CHEMBL' 'DrugBank' 'GTP']
33,Small molecule,4.0,CHRM2,Negative modulator,Antagonist,['CHEMBL']
33,Small molecule,4.0,CHRM3,Negative modulator,Antagonist,['CHEMBL']
34,Small molecule,4.0,CHRM1,Negative modulator,Antagonist,['CHEMBL']
34,Small molecule,4.0,CHRM3,Negative modulator,Antagonist,['CHEMBL']
35,Small molecule,4.0,CHRM1,Negative modulator,Antagonist,['CHEMBL' 'DrugBank' 'GTP']
35,Small molecule,4.0,CHRM3,Negative modulator,Antagonist,['CHEMBL' 'DrugBank' 'GTP']
36,Small molecule,4.0,CHRM1,Negative modulator,Antagonist,['CHEMBL']
36,Small molecule,4.0,CHRM3,Negative modulator,Antagonist,['CHEMBL']
37,Small molecule,4.0,CHRM2,Negative modulator,Antagonist,['CHEMBL']
37,Small molecule,4.0,CHRM3,Negative modulator,Antagonist,['CHEMBL']
38,Small molecule,4.0,TOP1,Negative modulator,Inhibitor,['CHEMBL']
39,Unknown,4.0,VEGFA,Negative modulator,Antagonist,['CHEMBL']
40,Antibody,4.0,VEGFA,Negative modulator,Inhibitor,['CHEMBL']
41,Protein,4.0,PGF,Negative modulator,Inhibitor,['CHEMBL' 'DrugBank']
41,Protein,4.0,VEGFA,Negative modulator,Inhibitor,['CHEMBL' 'DrugBank']
42,Antibody,4.0,VEGFA,Negative modulator,Inhibitor,['CHEMBL' 'DrugBank']
43,Peptide,4.0,GLP1R,Positive modulator,Agonist,['CHEMBL' 'DrugBank' 'GTP']
44,Peptide,4.0,GLP1R,Positive modulator,Agonist,['CHEMBL' 'DrugBank' 'GTP']
45,Small molecule,4.0,GSK3A,Negative modulator,Inhibitor,['CHEMBL']
45,Small molecule,4.0,GSK3B,Negative modulator,Inhibitor,['CHEMBL']
45,Small molecule,4.0,IMPA1,Negative modulator,Inhibitor,['CHEMBL']
46,Small molecule,4.0,GSK3A,Negative modulator,Inhibitor,['CHEMBL']
46,Small molecule,4.0,GSK3B,Negative modulator,Inhibitor,['CHEMBL' 'DrugBank']
46,Small molecule,4.0,IMPA1,Negative modulator,Inhibitor,['CHEMBL' 'DrugBank' 'GTP']
47,Protein,4.0,AVPR1A,Positive modulator,Agonist,['CHEMBL']
47,Protein,4.0,AVPR1B,Positive modulator,Agonist,['CHEMBL']
47,Protein,4.0,AVPR2,Positive modulator,Agonist,['CHEMBL']
48,Small molecule,4.0,AVPR2,Negative modulator,Antagonist,['CHEMBL' 'DrugBank' 'GTP']
49,Small molecule,4.0,AVPR1A,Negative modulator,Antagonist,['CHEMBL']
49,Small molecule,4.0,AVPR2,Negative modulator,Antagonist,['CHEMBL']
50,Protein,4.0,SSTR1,Positive modulator,Agonist,['CHEMBL']
50,Protein,4.0,SSTR2,Positive modulator,Agonist,['CHEMBL']
50,Protein,4.0,SSTR3,Positive modulator,Agonist,['CHEMBL']
50,Protein,4.0,SSTR5,Positive modulator,Agonist,['CHEMBL']
51,Protein,4.0,SSTR2,Positive modulator,Agonist,['CHEMBL' 'DrugBank' 'GTP']
51,Protein,4.0,SSTR5,Positive modulator,Agonist,['CHEMBL' 'DrugBank' 'GTP']
52,Peptide,4.0,PTH1R,Positive modulator,Agonist,['CHEMBL' 'GTP']
53,Protein,4.0,PTH1R,Positive modulator,Agonist,['CHEMBL']
54,Small molecule,4.0,LIPF,Negative modulator,Inhibitor,['CHEMBL' 'DrugBank']
54,Small molecule,4.0,PNLIP,Negative modulator,Inhibitor,['CHEMBL' 'DrugBank' 'GTP']
55,Small molecule,4.0,CYSLTR1,Negative modulator,Antagonist,['CHEMBL' 'DrugBank' 'GTP']
56,Small molecule,4.0,CYSLTR1,Negative modulator,Antagonist,['CHEMBL']
57,Peptide,4.0,F2,Negative modulator,Inhibitor,['CHEMBL' 'GTP']
58,Peptide,4.0,F2,Negative modulator,Inhibitor,['CHEMBL' 'DrugBank' 'GTP']
59,Peptide,4.0,F2,Negative modulator,Inhibitor,['CHEMBL' 'DrugBank' 'GTP']
60,Small molecule,4.0,F2,Negative modulator,Inhibitor,['CHEMBL']
61,Small molecule,4.0,F2,Negative modulator,Inhibitor,['CHEMBL' 'DrugBank' 'GTP']
62,Protein,4.0,PLAT,Other,Gene or protein replacement,['CHEMBL']
63,Protein,4.0,PLG,Positive modulator,Activator,['CHEMBL' 'DrugBank']
64,Protein,4.0,PLAT,Other,Gene or protein replacement,['CHEMBL']
65,Protein,4.0,PLAU,Other,Gene or protein replacement,['CHEMBL']
66,Peptide,4.0,KLKB1,Negative modulator,Inhibitor,['CHEMBL']
66,Peptide,4.0,PLG,Negative modulator,Inhibitor,['CHEMBL' 'GTP']
67,Protein,4.0,PLAT,Other,Gene or protein replacement,['CHEMBL']
68,Small molecule,4.0,PLG,Negative modulator,Inhibitor,['CHEMBL' 'DrugBank' 'GTP']
69,Small molecule,4.0,PLAT,Negative modulator,Inhibitor,['CHEMBL' 'DrugBank']
69,Small molecule,4.0,PLG,Negative modulator,Inhibitor,['CHEMBL' 'DrugBank' 'GTP']
70,Small molecule,4.0,CA2,Negative modulator,Inhibitor,['CHEMBL' 'DrugBank']
71,Small molecule,4.0,CA2,Negative modulator,Inhibitor,['CHEMBL']
72,Small molecule,4.0,CA2,Negative modulator,Inhibitor,['CHEMBL' 'DrugBank']
72,Small molecule,4.0,CA4,Negative modulator,Inhibitor,['CHEMBL' 'DrugBank']
72,Small molecule,4.0,GABRA1,Positive modulator,Positive modulator,['CHEMBL' 'DrugBank']
72,Small molecule,4.0,GABRA2,Positive modulator,Positive modulator,['CHEMBL']
72,Small molecule,4.0,GABRA3,Positive modulator,Positive modulator,['CHEMBL']
72,Small molecule,4.0,GABRA4,Positive modulator,Positive modulator,['CHEMBL']
72,Small molecule,4.0,GABRA5,Positive modulator,Positive modulator,['CHEMBL']
72,Small molecule,4.0,GABRA6,Positive modulator,Positive modulator,['CHEMBL']
72,Small molecule,4.0,GABRB1,Positive modulator,Positive modulator,['CHEMBL']
72,Small molecule,4.0,GABRB2,Positive modulator,Positive modulator,['CHEMBL']
72,Small molecule,4.0,GABRB3,Positive modulator,Positive modulator,['CHEMBL']
72,Small molecule,4.0,GABRD,Positive modulator,Positive modulator,['CHEMBL']
72,Small molecule,4.0,GABRE,Positive modulator,Positive modulator,['CHEMBL']
72,Small molecule,4.0,GABRG1,Positive modulator,Positive modulator,['CHEMBL']
72,Small molecule,4.0,GABRG2,Positive modulator,Positive modulator,['CHEMBL']
72,Small molecule,4.0,GABRG3,Positive modulator,Positive modulator,['CHEMBL']
72,Small molecule,4.0,GABRP,Positive modulator,Positive modulator,['CHEMBL']
72,Small molecule,4.0,GABRQ,Positive modulator,Positive modulator,['CHEMBL']
72,Small molecule,4.0,GRIA1,Negative modulator,Antagonist,['CHEMBL']
72,Small molecule,4.0,GRIA2,Negative modulator,Antagonist,['CHEMBL']
72,Small molecule,4.0,GRIA3,Negative modulator,Antagonist,['CHEMBL']
72,Small molecule,4.0,GRIA4,Negative modulator,Antagonist,['CHEMBL']
72,Small molecule,4.0,GRIK1,Negative modulator,Antagonist,['CHEMBL' 'DrugBank']
72,Small molecule,4.0,GRIK2,Negative modulator,Antagonist,['CHEMBL']
72,Small molecule,4.0,GRIK3,Negative modulator,Antagonist,['CHEMBL']
72,Small molecule,4.0,GRIK4,Negative modulator,Antagonist,['CHEMBL']
72,Small molecule,4.0,GRIK5,Negative modulator,Antagonist,['CHEMBL']
72,Small molecule,4.0,SCN10A,Negative modulator,Blocker,['CHEMBL']
72,Small molecule,4.0,SCN11A,Negative modulator,Blocker,['CHEMBL']
72,Small molecule,4.0,SCN1A,Negative modulator,Blocker,['CHEMBL' 'DrugBank']
72,Small molecule,4.0,SCN2A,Negative modulator,Blocker,['CHEMBL']
72,Small molecule,4.0,SCN3A,Negative modulator,Blocker,['CHEMBL']
72,Small molecule,4.0,SCN4A,Negative modulator,Blocker,['CHEMBL']
72,Small molecule,4.0,SCN5A,Negative modulator,Blocker,['CHEMBL']
72,Small molecule,4.0,SCN7A,Negative modulator,Blocker,['CHEMBL']
72,Small molecule,4.0,SCN8A,Negative modulator,Blocker,['CHEMBL']
72,Small molecule,4.0,SCN9A,Negative modulator,Blocker,['CHEMBL']
73,Small molecule,4.0,HTR1B,Positive modulator,Agonist,['CHEMBL']
73,Small molecule,4.0,HTR1D,Positive modulator,Agonist,['CHEMBL']
73,Small molecule,4.0,HTR1F,Positive modulator,Agonist,['CHEMBL']
74,Small molecule,4.0,HTR1B,Positive modulator,Agonist,['CHEMBL']
74,Small molecule,4.0,HTR1D,Positive modulator,Agonist,['CHEMBL']
74,Small molecule,4.0,HTR1F,Positive modulator,Agonist,['CHEMBL']
75,Small molecule,4.0,TOP2A,Negative modulator,Inhibitor,['CHEMBL']
76,Small molecule,4.0,TOP2A,Negative modulator,Inhibitor,['CHEMBL']
77,Small molecule,4.0,TOP2A,Negative modulator,Inhibitor,['CHEMBL']
78,Small molecule,4.0,TOP2A,Negative modulator,Inhibitor,['CHEMBL']
79,Small molecule,4.0,TOP2A,Negative modulator,Inhibitor,['CHEMBL']
80,Small molecule,4.0,TOP2A,Negative modulator,Inhibitor,['CHEMBL' 'DrugBank']
81,Small molecule,4.0,TOP2A,Negative modulator,Inhibitor,['CHEMBL']
82,Small molecule,4.0,ACE,Negative modulator,Inhibitor,['CHEMBL']
83,Small molecule,4.0,ACE,Negative modulator,Inhibitor,['CHEMBL' 'DrugBank' 'GTP']
84,Small molecule,4.0,ACE,Negative modulator,Inhibitor,['CHEMBL']
85,Small molecule,4.0,ACE,Negative modulator,Inhibitor,['CHEMBL' 'DrugBank' 'GTP']
86,Small molecule,4.0,ACE,Negative modulator,Inhibitor,['CHEMBL' 'DrugBank' 'GTP']
87,Small molecule,4.0,ACE,Negative modulator,Inhibitor,['CHEMBL']
88,Small molecule,4.0,ACE,Negative modulator,Inhibitor,['CHEMBL']
89,Small molecule,4.0,ACE,Negative modulator,Inhibitor,['CHEMBL' 'DrugBank' 'GTP']
90,Small molecule,4.0,ACE,Negative modulator,Inhibitor,['CHEMBL']
91,Small molecule,4.0,ACE,Negative modulator,Inhibitor,['CHEMBL' 'DrugBank' 'GTP']
92,Small molecule,4.0,ACE,Negative modulator,Inhibitor,['CHEMBL']
93,Small molecule,4.0,ACE,Negative modulator,Inhibitor,['CHEMBL']
94,Protein,4.0,TRHR,Positive modulator,Agonist,['CHEMBL']
95,Small molecule,4.0,PTGER1,Positive modulator,Agonist,['CHEMBL' 'DrugBank' 'GTP']
95,Small molecule,4.0,PTGER2,Positive modulator,Agonist,['CHEMBL' 'DrugBank' 'GTP']
96,Small molecule,4.0,HDAC1,Negative modulator,Inhibitor,['CHEMBL' 'DrugBank' 'GTP']
96,Small molecule,4.0,HDAC2,Negative modulator,Inhibitor,['CHEMBL' 'DrugBank']
96,Small molecule,4.0,HDAC3,Negative modulator,Inhibitor,['CHEMBL' 'DrugBank']
96,Small molecule,4.0,HDAC6,Negative modulator,Inhibitor,['CHEMBL' 'DrugBank']
97,Protein,4.0,EPOR,Positive modulator,Agonist,['CHEMBL']
98,Protein,4.0,EPOR,Positive modulator,Agonist,['CHEMBL' 'DrugBank']
99,Protein,4.0,EPOR,Positive modulator,Agonist,['CHEMBL' 'DrugBank']
100,Small molecule,4.0,IMPDH1,Negative modulator,Inhibitor,['CHEMBL' 'DrugBank' 'GTP']
101,Antibody,4.0,ERBB2,Negative modulator,Inhibitor,['CHEMBL' 'GTP']
102,Antibody,4.0,ERBB2,Negative modulator,Inhibitor,['CHEMBL' 'GTP']
103,Antibody drug conjugate,4.0,ERBB2,Negative modulator,Inhibitor,['CHEMBL']
103,Antibody drug conjugate,4.0,TUBA1A,Negative modulator,Inhibitor,['CHEMBL']
103,Antibody drug conjugate,4.0,TUBA1B,Negative modulator,Inhibitor,['CHEMBL']
103,Antibody drug conjugate,4.0,TUBA1C,Negative modulator,Inhibitor,['CHEMBL']
103,Antibody drug conjugate,4.0,TUBA3C,Negative modulator,Inhibitor,['CHEMBL']
103,Antibody drug conjugate,4.0,TUBA3E,Negative modulator,Inhibitor,['CHEMBL']
103,Antibody drug conjugate,4.0,TUBA4A,Negative modulator,Inhibitor,['CHEMBL']
103,Antibody drug conjugate,4.0,TUBB,Negative modulator,Inhibitor,['CHEMBL']
103,Antibody drug conjugate,4.0,TUBB1,Negative modulator,Inhibitor,['CHEMBL']
103,Antibody drug conjugate,4.0,TUBB2A,Negative modulator,Inhibitor,['CHEMBL']
103,Antibody drug conjugate,4.0,TUBB2B,Negative modulator,Inhibitor,['CHEMBL']
103,Antibody drug conjugate,4.0,TUBB3,Negative modulator,Inhibitor,['CHEMBL']
103,Antibody drug conjugate,4.0,TUBB4A,Negative modulator,Inhibitor,['CHEMBL']
103,Antibody drug conjugate,4.0,TUBB4B,Negative modulator,Inhibitor,['CHEMBL']
103,Antibody drug conjugate,4.0,TUBB6,Negative modulator,Inhibitor,['CHEMBL']
103,Antibody drug conjugate,4.0,TUBB8,Negative modulator,Inhibitor,['CHEMBL']
104,Small molecule,4.0,EGFR,Negative modulator,Inhibitor,['CHEMBL' 'DrugBank' 'GTP']
104,Small molecule,4.0,ERBB2,Negative modulator,Inhibitor,['CHEMBL' 'DrugBank' 'GTP']
105,Small molecule,4.0,HRH1,Negative modulator,Antagonist,['CHEMBL' 'DrugBank' 'GTP']
106,Small molecule,4.0,HRH1,Negative modulator,Antagonist,['CHEMBL']
107,Small molecule,4.0,HRH1,Negative modulator,Antagonist,['CHEMBL']
108,Small molecule,4.0,HRH1,Negative modulator,Antagonist,['CHEMBL']
109,Small molecule,4.0,HRH1,Negative modulator,Antagonist,['CHEMBL']
110,Small molecule,4.0,HRH1,Negative modulator,Antagonist,['CHEMBL']
111,Small molecule,4.0,HRH1,Negative modulator,Antagonist,['CHEMBL' 'DrugBank']
112,Small molecule,4.0,HRH1,Negative modulator,Antagonist,['CHEMBL']
113,Small molecule,4.0,HRH1,Negative modulator,Antagonist,['CHEMBL']
114,Small molecule,4.0,HRH1,Negative modulator,Antagonist,['CHEMBL']
115,Small molecule,4.0,HRH1,Negative modulator,Antagonist,['CHEMBL']
116,Small molecule,4.0,HRH1,Negative modulator,Antagonist,['CHEMBL']
117,Small molecule,4.0,HRH1,Negative modulator,Antagonist,['CHEMBL' 'DrugBank' 'GTP']
118,Small molecule,4.0,HRH1,Negative modulator,Antagonist,['CHEMBL']
119,Small molecule,4.0,HRH1,Negative modulator,Antagonist,['CHEMBL']
120,Small molecule,4.0,HRH1,Negative modulator,Antagonist,['CHEMBL' 'DrugBank']
121,Small molecule,4.0,HRH1,Negative modulator,Antagonist,['CHEMBL' 'DrugBank' 'GTP']
122,Small molecule,4.0,HRH1,Negative modulator,Antagonist,['CHEMBL']
123,Small molecule,4.0,HRH1,Negative modulator,Antagonist,['CHEMBL']
124,Small molecule,4.0,HRH1,Negative modulator,Antagonist,['CHEMBL']
125,Small molecule,4.0,HRH1,Negative modulator,Antagonist,['CHEMBL']
126,Small molecule,4.0,HRH1,Negative modulator,Antagonist,['CHEMBL']
127,Small molecule,4.0,HRH1,Negative modulator,Antagonist,['CHEMBL' 'DrugBank']
128,Small molecule,4.0,HRH1,Positive modulator,Agonist,['CHEMBL']
129,Small molecule,4.0,HRH1,Negative modulator,Antagonist,['CHEMBL']
130,Small molecule,4.0,HRH1,Negative modulator,Antagonist,['CHEMBL' 'DrugBank']
131,Small molecule,4.0,HRH1,Negative modulator,Antagonist,['CHEMBL' 'DrugBank']
132,Small molecule,4.0,HRH1,Negative modulator,Antagonist,['CHEMBL']
133,Small molecule,4.0,HRH1,Negative modulator,Antagonist,['CHEMBL']
134,Small molecule,4.0,HRH1,Negative modulator,Antagonist,['CHEMBL' 'DrugBank' 'GTP']
135,Small molecule,4.0,HRH1,Negative modulator,Antagonist,['CHEMBL' 'DrugBank' 'GTP']
136,Small molecule,4.0,HRH1,Negative modulator,Antagonist,['CHEMBL']
137,Small molecule,4.0,HRH1,Negative modulator,Antagonist,['CHEMBL']
138,Small molecule,4.0,HRH1,Negative modulator,Antagonist,['CHEMBL']
139,Small molecule,4.0,HRH1,Negative modulator,Antagonist,['CHEMBL']
140,Small molecule,4.0,HRH1,Negative modulator,Antagonist,['CHEMBL']
141,Small molecule,4.0,HRH1,Negative modulator,Antagonist,['CHEMBL']
142,Small molecule,4.0,HRH1,Negative modulator,Antagonist,['CHEMBL']
143,Small molecule,4.0,HRH1,Negative modulator,Antagonist,['CHEMBL']
144,Small molecule,4.0,HRH1,Negative modulator,Antagonist,['CHEMBL']
145,Small molecule,4.0,HRH1,Negative modulator,Antagonist,['CHEMBL']
146,Small molecule,4.0,HRH1,Negative modulator,Antagonist,['CHEMBL' 'DrugBank']
147,Small molecule,4.0,HRH1,Negative modulator,Antagonist,['CHEMBL']
148,Small molecule,4.0,HRH1,Negative modulator,Antagonist,['CHEMBL' 'DrugBank']
149,Small molecule,4.0,HRH1,Negative modulator,Antagonist,['CHEMBL' 'DrugBank' 'GTP']
150,Small molecule,4.0,GRIN1,Negative modulator,Antagonist,['CHEMBL']
150,Small molecule,4.0,GRIN2A,Negative modulator,Antagonist,['CHEMBL']
150,Small molecule,4.0,GRIN2B,Negative modulator,Antagonist,['CHEMBL']
150,Small molecule,4.0,GRIN2C,Negative modulator,Antagonist,['CHEMBL']
150,Small molecule,4.0,GRIN2D,Negative modulator,Antagonist,['CHEMBL']
150,Small molecule,4.0,GRIN3A,Negative modulator,Antagonist,['CHEMBL']
150,Small molecule,4.0,GRIN3B,Negative modulator,Antagonist,['CHEMBL']
150,Small molecule,4.0,HRH1,Negative modulator,Antagonist,['CHEMBL']
150,Small molecule,4.0,SCN10A,Negative modulator,Blocker,['CHEMBL']
150,Small molecule,4.0,SCN11A,Negative modulator,Blocker,['CHEMBL']
150,Small molecule,4.0,SCN1A,Negative modulator,Blocker,['CHEMBL']
150,Small molecule,4.0,SCN2A,Negative modulator,Blocker,['CHEMBL']
150,Small molecule,4.0,SCN3A,Negative modulator,Blocker,['CHEMBL']
150,Small molecule,4.0,SCN4A,Negative modulator,Blocker,['CHEMBL']
150,Small molecule,4.0,SCN5A,Negative modulator,Blocker,['CHEMBL']
150,Small molecule,4.0,SCN7A,Negative modulator,Blocker,['CHEMBL']
150,Small molecule,4.0,SCN8A,Negative modulator,Blocker,['CHEMBL']
150,Small molecule,4.0,SCN9A,Negative modulator,Blocker,['CHEMBL']
150,Small molecule,4.0,SLC6A2,Negative modulator,Inhibitor,['CHEMBL']
151,Small molecule,4.0,GRIN1,Negative modulator,Antagonist,['CHEMBL']
151,Small molecule,4.0,GRIN2A,Negative modulator,Antagonist,['CHEMBL']
151,Small molecule,4.0,GRIN2B,Negative modulator,Antagonist,['CHEMBL']
151,Small molecule,4.0,GRIN2C,Negative modulator,Antagonist,['CHEMBL']
151,Small molecule,4.0,GRIN2D,Negative modulator,Antagonist,['CHEMBL']
151,Small molecule,4.0,GRIN3A,Negative modulator,Antagonist,['CHEMBL']
151,Small molecule,4.0,GRIN3B,Negative modulator,Antagonist,['CHEMBL']
151,Small molecule,4.0,HRH1,Negative modulator,Antagonist,['CHEMBL']
151,Small molecule,4.0,SCN10A,Negative modulator,Blocker,['CHEMBL']
151,Small molecule,4.0,SCN11A,Negative modulator,Blocker,['CHEMBL']
151,Small molecule,4.0,SCN1A,Negative modulator,Blocker,['CHEMBL']
151,Small molecule,4.0,SCN2A,Negative modulator,Blocker,['CHEMBL']
151,Small molecule,4.0,SCN3A,Negative modulator,Blocker,['CHEMBL']
151,Small molecule,4.0,SCN4A,Negative modulator,Blocker,['CHEMBL']
151,Small molecule,4.0,SCN5A,Negative modulator,Blocker,['CHEMBL']
151,Small molecule,4.0,SCN7A,Negative modulator,Blocker,['CHEMBL']
151,Small molecule,4.0,SCN8A,Negative modulator,Blocker,['CHEMBL']
151,Small molecule,4.0,SCN9A,Negative modulator,Blocker,['CHEMBL']
151,Small molecule,4.0,SLC6A2,Negative modulator,Inhibitor,['CHEMBL']
152,Small molecule,4.0,ADRA1A,Negative modulator,Antagonist,['CHEMBL']
152,Small molecule,4.0,ADRA1B,Negative modulator,Antagonist,['CHEMBL']
152,Small molecule,4.0,ADRA1D,Negative modulator,Antagonist,['CHEMBL']
152,Small molecule,4.0,ADRA2A,Negative modulator,Antagonist,['CHEMBL']
152,Small molecule,4.0,ADRA2B,Negative modulator,Antagonist,['CHEMBL']
152,Small molecule,4.0,ADRA2C,Negative modulator,Antagonist,['CHEMBL']
152,Small molecule,4.0,HRH1,Positive modulator,Agonist,['CHEMBL']
152,Small molecule,4.0,HRH2,Positive modulator,Agonist,['CHEMBL']
153,Small molecule,4.0,ADRA1A,Negative modulator,Antagonist,['CHEMBL']
153,Small molecule,4.0,ADRA1B,Negative modulator,Antagonist,['CHEMBL']
153,Small molecule,4.0,ADRA1D,Negative modulator,Antagonist,['CHEMBL']
153,Small molecule,4.0,DRD2,Negative modulator,Antagonist,['CHEMBL']
153,Small molecule,4.0,HRH1,Negative modulator,Antagonist,['CHEMBL']
153,Small molecule,4.0,HTR2A,Negative modulator,Antagonist,['CHEMBL']
153,Small molecule,4.0,HTR2C,Negative modulator,Antagonist,['CHEMBL']
153,Small molecule,4.0,SLC6A2,Negative modulator,Inhibitor,['CHEMBL']
154,Antibody,4.0,TNF,Negative modulator,Inhibitor,['CHEMBL' 'DrugBank']
